time,BH,lstm_equity
2024-05-02 10:30:00+00:00,0.9873755339,0.9990057865
2024-05-02 11:00:00+00:00,0.9871172470,0.9990057865
2024-05-02 11:30:00+00:00,0.9872463904,0.9990057865
2024-05-02 12:00:00+00:00,0.9873017376,0.9990057865
2024-05-02 12:30:00+00:00,0.9871264715,0.9990057865
2024-05-02 13:00:00+00:00,0.9864899788,0.9990057865
2024-05-02 13:30:00+00:00,0.9858073633,0.9990057865
2024-05-02 14:00:00+00:00,0.9859272822,0.9990057865
2024-05-02 14:30:00+00:00,0.9859549558,0.9990057865
2024-05-02 15:00:00+00:00,0.9868220619,0.9990057865
2024-05-02 15:30:00+00:00,0.9874954528,0.9990057865
2024-05-02 16:00:00+00:00,0.9879290059,0.9990057865
2024-05-02 16:30:00+00:00,0.9885562741,0.9990057865
2024-05-02 17:00:00+00:00,0.9885747232,0.9990057865
2024-05-02 17:30:00+00:00,0.9888145610,0.9990057865
2024-05-03 06:00:00+00:00,0.9887224575,0.9990057865
2024-05-03 06:30:00+00:00,0.9882619397,0.9990057865
2024-05-03 07:00:00+00:00,0.9881974672,0.9990057865
2024-05-03 07:30:00+00:00,0.9886948264,0.9990057865
2024-05-03 08:00:00+00:00,0.9895237584,0.9990057865
2024-05-03 08:30:00+00:00,0.9894316549,0.9990057865
2024-05-03 09:00:00+00:00,0.9895974413,0.9990057865
2024-05-03 09:30:00+00:00,0.9894869170,0.9990057865
2024-05-03 10:00:00+00:00,0.9893211306,0.9990057865
2024-05-03 10:30:00+00:00,0.9895053377,0.9990057865
2024-05-03 11:00:00+00:00,0.9900026969,0.9985655981
2024-05-03 11:30:00+00:00,0.9897171759,0.9986417305
2024-05-03 12:00:00+00:00,0.9902882179,0.9986098600
2024-05-03 12:30:00+00:00,0.9941381464,0.9986098600
2024-05-03 13:00:00+00:00,0.9931342177,0.9986098600
2024-05-03 13:30:00+00:00,0.9925908068,0.9986098600
2024-05-03 14:00:00+00:00,0.9907579460,0.9986098600
2024-05-03 14:30:00+00:00,0.9915776676,0.9986098600
2024-05-03 15:00:00+00:00,0.9920473958,0.9986098600
2024-05-03 15:30:00+00:00,0.9918816093,0.9986098600
2024-05-03 16:00:00+00:00,0.9916329297,0.9986098600
2024-05-03 16:30:00+00:00,0.9913658294,0.9986098600
2024-05-03 17:00:00+00:00,0.9912921466,0.9986098600
2024-05-03 17:30:00+00:00,0.9914947744,0.9986098600
2024-05-06 06:00:00+00:00,0.9915132020,0.9986098600
2024-05-06 06:30:00+00:00,0.9916421949,0.9986098600
2024-05-06 07:00:00+00:00,0.9920844563,0.9986098600
2024-05-06 07:30:00+00:00,0.9915500571,0.9986098600
2024-05-06 08:00:00+00:00,0.9927847035,0.9986098600
2024-05-06 08:30:00+00:00,0.9921765941,0.9986098600
2024-05-06 09:00:00+00:00,0.9920568149,0.9986098600
2024-05-06 09:30:00+00:00,0.9922963732,0.9986098600
2024-05-06 10:00:00+00:00,0.9922134492,0.9986098600
2024-05-06 10:30:00+00:00,0.9925267177,0.9986098600
2024-05-06 11:00:00+00:00,0.9926464968,0.9986098600
2024-05-06 11:30:00+00:00,0.9925635728,0.9986098600
2024-05-06 12:00:00+00:00,0.9935586609,0.9986098600
2024-05-06 12:30:00+00:00,0.9939272121,0.9986098600
2024-05-06 13:00:00+00:00,0.9935586609,0.9986098600
2024-05-06 13:30:00+00:00,0.9938535019,0.9986098600
2024-05-06 14:00:00+00:00,0.9936600125,0.9986098600
2024-05-06 14:30:00+00:00,0.9932730338,0.9986098600
2024-05-06 15:00:00+00:00,0.9928768413,0.9986098600
2024-05-06 15:30:00+00:00,0.9931440409,0.9986098600
2024-05-06 16:00:00+00:00,0.9925543590,0.9986098600
2024-05-06 16:30:00+00:00,0.9927294208,0.9986098600
2024-05-06 17:00:00+00:00,0.9927478484,0.9986098600
2024-05-06 17:30:00+00:00,0.9927109932,0.9986098600
2024-05-07 06:00:00+00:00,0.9928032664,0.9986098600
2024-05-07 06:30:00+00:00,0.9931908134,0.9986098600
2024-05-07 07:00:00+00:00,0.9932092680,0.9986098600
2024-05-07 07:30:00+00:00,0.9933015411,0.9986157299
2024-05-07 08:00:00+00:00,0.9928309483,0.9978459901
2024-05-07 08:30:00+00:00,0.9932277227,0.9984415084
2024-05-07 09:00:00+00:00,0.9926464021,0.9975690449
2024-05-07 09:30:00+00:00,0.9928401756,0.9978598380
2024-05-07 10:00:00+00:00,0.9931908134,0.9983861064
2024-05-07 10:30:00+00:00,0.9936983155,0.9991479728
2024-05-07 11:00:00+00:00,0.9935968151,0.9990083696
2024-05-07 11:30:00+00:00,0.9934860873,0.9989449622
2024-05-07 12:00:00+00:00,0.9940397260,0.9989449622
2024-05-07 12:30:00+00:00,0.9942980907,0.9989449622
2024-05-07 13:00:00+00:00,0.9947410016,0.9989449622
2024-05-07 13:30:00+00:00,0.9947686835,0.9989449622
2024-05-07 14:00:00+00:00,0.9944180457,0.9989449622
2024-05-07 14:30:00+00:00,0.9945103188,0.9989449622
2024-05-07 15:00:00+00:00,0.9943349999,0.9989449622
2024-05-07 15:30:00+00:00,0.9934860873,0.9989449622
2024-05-07 16:00:00+00:00,0.9941689083,0.9989449622
2024-05-07 16:30:00+00:00,0.9938182705,0.9989449622
2024-05-07 17:00:00+00:00,0.9929416760,0.9989449622
2024-05-07 17:30:00+00:00,0.9925449016,0.9989449622
2024-05-08 06:00:00+00:00,0.9930346685,0.9989449622
2024-05-08 06:30:00+00:00,0.9929145370,0.9989449622
2024-05-08 07:00:00+00:00,0.9926003469,0.9989449622
2024-05-08 07:30:00+00:00,0.9923600839,0.9989449622
2024-05-08 08:00:00+00:00,0.9925449016,0.9989449622
2024-05-08 08:30:00+00:00,0.9928683326,0.9989449622
2024-05-08 09:00:00+00:00,0.9931363182,0.9989449622
2024-05-08 09:30:00+00:00,0.9935244354,0.9989449622
2024-05-08 10:00:00+00:00,0.9936076033,0.9989449622
2024-05-08 10:30:00+00:00,0.9932934132,0.9991167580
2024-05-08 11:00:00+00:00,0.9930993547,0.9993405141
2024-05-08 11:30:00+00:00,0.9930254276,0.9994512162
2024-05-08 12:00:00+00:00,0.9926373105,1.0000327389
2024-05-08 12:30:00+00:00,0.9932934132,0.9990500186
2024-05-08 13:00:00+00:00,0.9933858221,0.9989117370
2024-05-08 13:30:00+00:00,0.9934505083,0.9988149589
2024-05-08 14:00:00+00:00,0.9936907713,0.9984556348
2024-05-08 14:30:00+00:00,0.9933211359,0.9990085307
2024-05-08 15:00:00+00:00,0.9931640409,0.9992436666
2024-05-08 15:30:00+00:00,0.9938478663,0.9982208089
2024-05-08 16:00:00+00:00,0.9932656906,0.9990915093
2024-05-08 16:30:00+00:00,0.9930069458,0.9994788949
2024-05-08 17:00:00+00:00,0.9929237779,0.9996034651
2024-05-08 17:30:00+00:00,0.9927759237,0.9998249873
2024-05-09 06:00:00+00:00,0.9925911146,0.9998966601
2024-05-09 06:30:00+00:00,0.9921845347,0.9998298232
2024-05-09 07:00:00+00:00,0.9922399774,0.9998043522
2024-05-09 07:30:00+00:00,0.9919442828,0.9992935991
2024-05-09 08:00:00+00:00,0.9913898556,0.9984559137
2024-05-09 08:30:00+00:00,0.9913344129,0.9983721580
2024-05-09 09:00:00+00:00,0.9912697297,0.9982744460
2024-05-09 09:30:00+00:00,0.9915561838,0.9987071947
2024-05-09 10:00:00+00:00,0.9920736492,0.9994890927
2024-05-09 10:30:00+00:00,0.9919442829,0.9992935991
2024-05-09 11:00:00+00:00,0.9915377029,0.9989190386
2024-05-09 11:30:00+00:00,0.9912420083,0.9988516769
2024-05-09 12:00:00+00:00,0.9918518783,0.9988516769
2024-05-09 12:30:00+00:00,0.9942081941,0.9988516769
2024-05-09 13:00:00+00:00,0.9941065491,0.9988610623
2024-05-09 13:30:00+00:00,0.9946055336,0.9986412680
2024-05-09 14:00:00+00:00,0.9957143881,0.9986094512
2024-05-09 14:30:00+00:00,0.9957328690,0.9986094512
2024-05-09 15:00:00+00:00,0.9957790713,0.9986094512
2024-05-09 15:30:00+00:00,0.9952338845,0.9986094512
2024-05-09 16:00:00+00:00,0.9956497049,0.9986094512
2024-05-09 16:30:00+00:00,0.9957513499,0.9986094512
2024-05-09 17:00:00+00:00,0.9961024872,0.9986094512
2024-05-09 17:30:00+00:00,0.9958991972,0.9986094512
2024-05-10 06:00:00+00:00,0.9961394936,0.9986094512
2024-05-10 06:30:00+00:00,0.9960285875,0.9986094512
2024-05-10 07:00:00+00:00,0.9961857044,0.9986094512
2024-05-10 07:30:00+00:00,0.9964167586,0.9986094512
2024-05-10 08:00:00+00:00,0.9964167586,0.9986094512
2024-05-10 08:30:00+00:00,0.9963705478,0.9986094512
2024-05-10 09:00:00+00:00,0.9968049298,0.9986094512
2024-05-10 09:30:00+00:00,0.9962873682,0.9986094512
2024-05-10 10:00:00+00:00,0.9963243369,0.9986094512
2024-05-10 10:30:00+00:00,0.9961672200,0.9986094512
2024-05-10 11:00:00+00:00,0.9959361658,0.9986094512
2024-05-10 11:30:00+00:00,0.9962503996,0.9986094512
2024-05-10 12:00:00+00:00,0.9961394935,0.9986094512
2024-05-10 12:30:00+00:00,0.9954001200,0.9986094512
2024-05-10 13:00:00+00:00,0.9960285875,0.9986094512
2024-05-10 13:30:00+00:00,0.9969990153,0.9986094512
2024-05-10 14:00:00+00:00,0.9947069573,0.9986094512
2024-05-10 14:30:00+00:00,0.9948363476,0.9986094512
2024-05-10 15:00:00+00:00,0.9952984561,0.9986094512
2024-05-10 15:30:00+00:00,0.9955849634,0.9986094512
2024-05-10 16:00:00+00:00,0.9957790489,0.9986094512
2024-05-10 16:30:00+00:00,0.9959269236,0.9986094512
2024-05-10 17:00:00+00:00,0.9958160176,0.9986094512
2024-05-10 17:30:00+00:00,0.9957790489,0.9986094512
2024-05-13 06:00:00+00:00,0.9958622377,0.9986094512
2024-05-13 06:30:00+00:00,0.9955109962,0.9986094512
2024-05-13 07:00:00+00:00,0.9960748313,0.9986094512
2024-05-13 07:30:00+00:00,0.9960286153,0.9986094512
2024-05-13 08:00:00+00:00,0.9961302905,0.9986094512
2024-05-13 08:30:00+00:00,0.9967680712,0.9986094512
2024-05-13 09:00:00+00:00,0.9968327736,0.9986094512
2024-05-13 09:30:00+00:00,0.9966756393,0.9986094512
2024-05-13 10:00:00+00:00,0.9966386665,0.9986094512
2024-05-13 10:30:00+00:00,0.9965832073,0.9986094512
2024-05-13 11:00:00+00:00,0.9969344488,0.9986094512
2024-05-13 11:30:00+00:00,0.9972856904,0.9986094512
2024-05-13 12:00:00+00:00,0.9979604439,0.9986094512
2024-05-13 12:30:00+00:00,0.9980990919,0.9986094512
2024-05-13 13:00:00+00:00,0.9986167110,0.9986094512
2024-05-13 13:30:00+00:00,0.9986629270,0.9986094512
2024-05-13 14:00:00+00:00,0.9985797382,0.9986094512
2024-05-13 14:30:00+00:00,0.9986351974,0.9986094512
2024-05-13 15:00:00+00:00,0.9973596360,0.9986094512
2024-05-13 15:30:00+00:00,0.9978495255,0.9986094512
2024-05-13 16:00:00+00:00,0.9980990919,0.9986094512
2024-05-13 16:30:00+00:00,0.9976646616,0.9986094512
2024-05-13 17:00:00+00:00,0.9974890408,0.9986094512
2024-05-13 17:30:00+00:00,0.9974982840,0.9986094512
2024-05-14 06:00:00+00:00,0.9972578472,0.9986094512
2024-05-14 06:30:00+00:00,0.9976000072,0.9986094512
2024-05-14 07:00:00+00:00,0.9976739878,0.9986094512
2024-05-14 07:30:00+00:00,0.9975445218,0.9986094512
2024-05-14 08:00:00+00:00,0.9966660028,0.9986094512
2024-05-14 08:30:00+00:00,0.9972393521,0.9989662282
2024-05-14 09:00:00+00:00,0.9978034538,0.9997503231
